,sentence
258,the univariate survival analysis showed that cases with p  v  had shorter survival time 38 7 m  compared with those with p v  45 8 m  p  0 015
259,previously published article determined pten and epidermal growth factor receptor her3 as surrogate markers in patients which have her2 overexpressing mbc and it has been suggested that these markers may affect in the pi3k pathway 3
260,tumor dna samples from ii 4 tumor and peripheral blood dna samples from iii 4 and peripheral blood dna samples from two unaffected family members ii 5 and iii 5 were used for the analysis
261,by patient report nsclc symptoms of dyspnea cough and pain chest arm shoulder showed improvement first observed after 3 weeks on therapy
262,immunocytochemical analysis was performed according to the method described on the commercial kits to examine the expressions of cd31 and ki 67 cell signaling technology danvers ma usa
263,secondly mtbhsp70 is capable of delivering epitopes for enhanced processing and mhc i presentation by dcs to nave cd8 t cells a process known as cross presentation 30
264,1306016 3069 clin radiol clin radiol clinical radiology 0009 9260 1365 229x 24857677 4105980 10 1016 j crad 2014 03 020 nihms587373 article revisiting the relationship between tumour volume and diameter in advanced nsclc patients an exercise to maximize the utility of each measure to assess response to therapy nishino m a  jackman d m
265,thus there is evidence that the subtype of triple negative cancers is heterogeneous and we cannot simply consider them a single group
266,contrary to computed tomography as a staging tool breast mri focuses on the breast parenchyma and axilla
267,these reactive species can oxidize thiol groups of the mitochondrial potential transition pore complex leading to increased mitochondrial inner membrane permeability reduced mitochondrial membrane depolarization and release of cytochrome c resulting in cell death 13  14
268,red population represents the isotype control
269,however 13 blood samples collected after surgery showed positive result in elisa with higher od value
270,patients with renal cancer cervical cancer thyroid cancer and melanoma rarely develop plc 4 6
271,1 jemalabrayfcentermmferlayjwardeformandglobal cancer statisticsca a cancer journal for clinicians2011616990doi 10 3322 caac 20107 21296855 2 reis filhojspusztailgene expression profiling in breast cancer classification prognostication and predictionlancet2011378181223doi 10 1016 s0140 6736 11 61539 0 22098854 3 peroucmsorlieteisenmbvan de rijnmjeffreyssreescamolecular portraits of human breast tumoursnature200040674752doi 10 1038 35021093 10963602 4 sotirioucpusztailgene expression signatures in breast cancerthe new england journal of medicine2009360790800doi 10 1056 nejmra0801289 19228622 5 lehmannbdbauerjachenxsandersmechakravarthyabshyryidentification of human triple negative breast cancer subtypes and preclinical models for selection of targeted therapiesthe journal of clinical investigation2011121275067doi 10 1172 jci45014 21633166 6 metzger filhootuttade azambujaesainiksvialegloisdissecting the heterogeneity of triple negative breast cancerjournal of clinical oncology official journal of the american society of clinical oncology201230187987doi 10 1200 jco 2011 38 2010 22454417 7 dengcxbrca1 cell cycle checkpoint genetic instability dna damage response and cancer evolutionnucleic acids res200634141626doi 10 1093 nar gkl010 16522651 8 yardenripapamzbrca1 at the crossroad of multiple cellular pathways approaches for therapeutic interventionsmol cancer ther200651396404doi 10 1158 1535 7163 mct 05 0471 16818497 9 dinejdengcxmouse models of brca1 and their application to breast cancer researchcancer metastasis rev2013322537doi 10 1007 s10555 012 9403 7 23093327 10 buckleynemullanpbbrca1 conductor of the breast stem cell orchestra the role of brca1 in mammary gland development and identification of cell of origin of brca1 mutant breast cancerstem cell rev2012898293doi 10 1007 s12015 012 9354 y 22426855 11 dengcxwangrhroles of brca1 in dna damage repair a link between development and cancerhum mol genet20031r11323 12 caolliwkimsbrodiesgdengcxsenescence aging
272,acquisition of pet data was operated in three dimensional and high resolution mode
273,cancer sera were also tested against three cellular antigens ssa52 ssa60 and ssb that are known antigenic targets of autoantibodies in the prototype autoimmune disease sle and pss 22  which could help to determine the extent of specificity of taas in cancer
274,the erspc study inferred that based on psa based pca detection 1410 men would need to be screened and 48 additional cases of pca would need to be treated to prevent one death from pca resulting in a high rate of over diagnosis 28
275,the mtor pathway is frequently activated in various cancers including breast cancer which plays a critical role in tumor growth and metastasis 34 36
276,all five molecular subtypes were found within the non brca1 2 tumor class
277,we have described the distribution of any possible factors such as age passive smoking status fuel smoke exposure family history of cancer between cooking oil fumes exposed group and non exposed group that might affect the association but none of these seemed to be different between exposed group and non exposed group table 5
278,secondary outcome measures quality of life only for patients the european organisation for research and treatment of cancer eortc core quality of life questionnaire qlq c30  47 is included along with the supplemental lung cancer questionnaire module qlq lc13  48
279,our data reveal that a significantly higher fraction of patients with the tt genotype exhibited a younger age at breast cancer onset
280,rsv and fidas do not modulate nuclear localization of ar and q640x based on our results that ar expression and ar stability cannot fully account for rsv or fidas mediated inhibition of ar signalling we analyzed the effects of both stilbenes on the nuclear translocation of ar and q640x
281,however there are insufficient data concerning the efficacy and safety of high dose leuprorelin acetate especially in asian patients with prostate cancer
282,figure 3 genome wide differences in methylation levels between tumors and reduction mammoplasty samples stratified by location of interrogated cpg locus average methylation levels at loci within cgis and cgi shores were consistently higher in tumors compared to normal controls regardless of race welch s t test
283,d quantitation of the number of cells that penetrated the insert membrane
284,as shown in figure 1b only one protein band was observed with a molecular weight of approximately 100 kda for scfvmtbhsp70 and one protein band with a molecular weight of 70 kda for mtbhsp70 which match the expected molecular weights of these specific proteins
285,the mice in control group were treated with vehicle control whereas the mice in 2 3 5 and 6 groups were given daily intraperitoneal injection of 5 or 10 mg kg berberine every two days for 6 times
286,total apoptotic cells % are shown in each figure
287,the association was significant with or without adjusted clinical covariates and thus the pathway alone is a strong indicator of cancer prognosis
288,at the experimental end point htebcs mouse bones and organs were excised and ex vivo bli was performed within 2030 minutes after luciferin injection
289,exposure to radon is measured in working level months wlm  while smoking is reported as packs of cigarettes 100 full cohort lung cancer cases n % n % subjects 3347 100 0 258 7 7 deaths % 1258 37 6 258 100 0 ever smokers % 2656 79 4 238 92 2 median min 25th 75th max median min 25th 75th max age at entry 34 0 15 8 25 8 44 0 80 0 41 6 18 6 34 3 48 0 63 9 follow up time years 23 9 0 1 19 6 25 5 32 5 18 3 0 3 12 9 22 0 30 8 exposure to radon exposure period years 6 7 0 1 2 7 11 8 53 0 12 8 0 1 7 8 17 6 39 5 total cumulative exposure wlm year 429 0 0 0 153 5 1016 8 10 000 0 1231 9 8 0 553 7 2528 6 10 000 0 yearly exposure wlm year all 60 2 0 1 26 7 122 2 3245 3 81 6 1 0 42 3 165 4 1295 7 lag 09 52 4 0 1 23 8 102 5 2994 0 61 4 3 9 31 3 144 7 1110 8 lag 1019 53 8 0 1 24 3 112 5 3245 3 78 3 1 0 42 9 164 0 1295 7 lag 2029 74 0 0 1 33 0 141 7 3245 3 104 7 4 1 52 2 180 0 1295 7 lag 3040 95 7 0 2 48 0 151 6 2994 0 104 7 5 5 60 0 175 3 860 2 smoking exposure period years 38 0 5 0 31 0 46 0 75 0 40 0 14 0 33 0 48 0 72 0 total cumulative exposure packs 100 131 6 0 4 94 5 174 5 676 3 147 4 21 8 109 5 188 1 567 2 yearly exposure packs 100 3 6 0 0 2 5 3 6 24 4 3 6 0 0 3 5 4 2 13 4 3 2
290,purpose prior research examining the impact of androgen deprivation therapy adt for prostate cancer on cognitive performance has found inconsistent relationships
291,it is not clear at this stage whether rbfox2 forms a stable complex with snornas or transiently binds these snornas during splicing and biogenesis
292,dna isolation and genotyping genomic dna was extracted from blood samples with the qiaamp dna blood midi kit qiagen venlo the netherlands following the manufacturers instructions
293,quantification of cholesterol and prostate specific antigen the amplex red cholesterol assay invitrogen was performed as per manufacturers instructions to measure the total intracellular cholesterol amount
294,supporting information figure s1 p values of association  log10 scale with breast and ovarian cancer risk in brca1 and brca2 carriers for genotyped and imputed snps considering 15 kb upstream and downstream the genes in which snps described in table 1 were located
295,rs2236722 genotypes were determined in 330 subjects 183 cases and 147 controls  which all exhibited the same genotype
296,red indicates elevated expression green reduced expression
297,1consort diagram of the converther studytable 1patient characteristics at study inclusion n  196 characteristics n %age years  n  196 median range 57 3092 menopausal status n  196 pre perimenopausal6031 postmenopausal13669tumor stage at diagnosis n  165 i2616 ii8250 iii3622 iv2112histological grade at diagnosis n  163 grade 12515 grade 26540 grade 37345time from diagnosis until first relapse n  194 median range  years3 7 0 019 3 time from diagnosis until study inclusion n  195 median range  years4 8 0 019 3 patient status at study inclusion n  196 first relapse11458 second or subsequent relapses8242location of the relapse n  191 locoregional lesion3619 thoracic wall147 lymph nodes2212 distant metastasis15581 visceral metastasis6534  liver4423  lung pleura179  other42 cutaneous and soft tissues4222 bone tissue3518 other2011treatment strategy n  196 primary surgery n  186  mastectomy10654  breast conservative therapy8041 neo adjuvant treatment n  178  chemotherapy15881  endocrine therapy12061  targeted therapy158 radiotherapy11257 antitumor treatment for advanced disease n  137  chemotherapy9347  endocrine therapy8141  targeted therapy5930  radiotherapy5026 conversion rate of receptor status and changes in molecular subtypes between primary tumor and metastasis local laboratory from the 184 evaluable patients biopsy data were available from all metastatic lesions at local level but original pathology report from the primary tumor could only be obtained from 178 patients
298,and prostate carcinoma lncap clone fgc atcc crl 1740  were obtained from american type culture collection atcc manassas va and cultured in medium designated by the provider for propagation and maintenance
299,comparison of the egfr pcr test results with sanger sequencing of 487 specimens tested using the egfr pcr test and sanger sequencing 406 gave valid results by both methods 38 were invalid by both methods five were invalid by egfr pcr test and 38 were invalid by sanger sequencing
300,materials and methods patient population main inclusion criteria were age
301,in conclusion in cells with membrane e cadherin both p120ctn isoforms 1a and 3a inhibited emt and decreased cell invasiveness
302,diagnoses potentially related to inflammation such as hypertension hypercholesterolemia and coronary artery disease remained relatively low in the population
303,model performance is displayed as receiver operating characteristic curves
304,the increased sensitivity of sclc cells to phenothiazines was also evidenced by increased cell death and growth arrest after treatment with these agents figure 2
305,in particular we acknowledge that a sizable proportion of the isoform specific exons expressed as a consequence of rrp1b knockdown are located at the 5
306,as such we introduced an acetyl group to cap the n terminus of the h2d10 conjugate which led to h2acd10
307,we performed a 5 fold cross validation one hundred times with the luad dataset which consisted of 120 cancers and 120 normal samples
308,cytotoxicity assay the cytotoxic capacity was analyzed using the terascan vpc system minerva tech tokyo
309,lung cancer derived brain metastases are an exceptionally important cause of morbidity and mortality since even small satellite lesions are incapacitating
310,however our data reveal that none of the investigated genotypes was per se associated with a significantly increased breast cancer risk
311,to analyze correlations between p65 and p50 expression and clinico pathological variables we used 2 test fisher exact test  based on bimodal distribution of data
312,a m mcdermott received a research scholarship from the national breast cancer research institute nbcri  ireland
313,the complication rate of mlm in the current study was higher than the results of previous studies mainly due to the leakage of mlm into the pleural cavity n 9
314,first strand cdna synthesis was carried out on 500 ng total rna using superscript vilo and random hexamer oligonucleotide primers life technologies
315,we concluded that drinking three cups more per day does not increase the risk of colorectal cancer while zhang et al
316,the estimated weibull parameters are used to measure the time dependency transition probabilities from pfs to ps state according to the following formula where the
317,and prostate carcinoma lncap clone fgc atcc crl 1740  were obtained from american type culture collection atcc manassas va and cultured in medium designated by the provider for propagation and maintenance
318,and il 18 through caspase 1 activity 17  which was also assessed in luteoloside treated huh 7 and smmc 7721 hcc cells
319,the spectrum of protein levels for ercc1 and rrm1 significant correlation of levels between both molecules and distribution of patients into the 4 gene expression categories in the current study is consistent with previous experience 9 12 13 16 18 26 however the current analysis method for biomarker evaluation ie antibody based assessment of in situ protein levels is not suitable for general clinical implementation for several reasons
320,7 high crisp3 mrna expression was associated with high gs in both mskcc p  0 022  figure 3d and the swedish p  1e 4  figure 4b
321,cancer letters 0304 3835 1872 7980 24556077 4142062 10 1016 j canlet 2014 02 006 nihms615714 article gold nanoparticles in breast cancer treatment promise and potential pitfalls lee jihyoun a b chatterjee dev kumar a lee min hyuk b krishnan sunil a  adepartment of radiation oncology university of texas md anderson cancer center 1515 holcombe blvd  houston tx 77030 usa bdepartment of surgery soon chun hyang university hospital 657 hannam dong yongsangu seoul 140 743 republic of korea corresponding author
322,breast cancer pi3 kinase real time pcr expression introduction phopsphotidylinositol 3 kinase pi3ks is a grouping of lipid kinases to control signalling pathways occupied in cell proliferation adhesion survival and motility
323,sections were counterstained with hematoxylin
324,cox proportional hazard analysis forward wald and hazard ratio hr with 95% confidence intervals cis were used to determine the relative importance of the prognostic variables
325,however when the scores produced by different operators for staining intensity were analysed there was a large reduction in
326,purpose the aim of this prospective study was to evaluate whether 18f fdg pet ct performed within two weeks of starting erlotinib therapy can predict tumor response defined by recist 1 1 criteria after 8 weeks of treatment in patients with inoperable stage iiia to iv non small cell lung cancer patients
327,of seven cases that were mutation detected by the egfr pcr test and mutation not detected by the ldt 5 were confirmed by mpp
328,a mixture with a 1 6 or lower mixing ratio contained a minimal amount of lipiodol and it might make it difficult to be detected on the fluoroscopy subsequently we decided that 1 5 was an appropriate mixing ratio for injection
329,then cells were trypsinized and 5 104 cells were resuspended in serum free media and added to the upper compartment of a transwell coated with 1 mg ml matrigel bd biosciences lexington ky usa
330,studies on the gene expression signatures of breast tumours have led to a new classification of breast cancers into at least five different subtypes with very different prognoses 4
331,pathway by deleting the gene encoding the tgf
332,immunol cell biol90 98398623010873 21 ungerbckj belenkid jawad ul hassana fredriksonm fransnk et al 2012 genetic variation and alterations of genes involved in nf b tnfaip3 and nlrp3 inflammasome signaling affect susceptibility and outcome of colorectal cancer
333,are supported by university of michigan prostate spore career development awards
334,evaluation of response to treatment according to recist 1 1 criteria demonstrated 7 patients with progressive disease group p and 5 patients with non progressive disease group np including 4 cases of stable disease sd and 1 partial response pr
335,supernatants of clones were screened by sandwich elisa using goat anti human igg fab specific sigma aldrich catalog no
336,all known vertebrate collagen prolyl 4 hydroxylases are 2 2 tetramers consisting of two
337,the analysis of cancerous structures is not trivial they are characterized by their lack of shape and their overlap with other tissues e g
338,tumours were measured twice weekly and their volumes were calculated using the formula  volume 0 52  width 2 length
339,orp results in hospitals without a robot were not better than orp with a robot and pretreatment co morbidity profiles were similar in all cohorts
340,the events were achieved matching to the directions of the manufacturer s
341,the presence of complex motion such as tumor rotation and or deformation was tested by comparing the motion trajectory of the tumor centroid with those of the selected points on the tumor boundary
342,results eligible studies we identified 516 studies in the three databases and their bibliographies of relevant clinical trials
343,tf binding and nucleosome repositioning models analyzed in this study
344,our meta analysis included 27 studies with 9 460 non metastatic breast cancer patients and we aimed to evaluate the association between pcr and breast cancer subtypes tnbc and non tnbc after nac and originally tried to identify factors related to achieving pcr for tnbc
345,to explore the role of hrk in the at2r induced apoptosis in pc3 cells hrk sirna was transduced into pc 3 cells to decrease in hrk expression fig
346,as a next step in the development of dc vaccines we designed a recombinant protein that contains a mycobacterium tuberculosis heat shock protein 70 mtbhsp70 fused to a single chain variable fragment scfv derived from human b cells that targets mesothelin
347,another method for the selection of features is a generalization of the random forest algorithm known as random subspace ensemble 32  which perform better when the features have high correlation
348,sample and probe locus quality control rigorous quality control criteria were used for filtering at both the locus and sample levels 32
349,notch and hedgehog pathways as an important regulator of cell fate determination notch signaling is reported to play crucial roles not only in prostate development but also in the progression of prostate cancer
350,in addition the effect is not specific to the met model
351,a cci score of 1 was assigned to 51 15 2% patients
352,for the 71 patients with a successful assignment within the 84 day time interval from surgical resection the time from receipt to reporting ranged from 3 days to 26 days median 8 days
353,the adaptor protein growth factor receptor bound protein 2 grb 2  can directly bind tyrosine phosphorylated sites on the egrf via its sh2 domain which promotes plasma membrane recruitment of gab 1 and binding of proline rich motifs on gab 1 to sh3 domains on grb 2 37
354,here we used the gene signatures employing the support vector machines algorithm linear kernel  to identify tumors with brca1 like and brca2 like phenotype within basal like and lumb non brca1 2 tumors respectively
355,eight studies on colorectal cancer 10 26 27 31 38 41 and three studies on stomach cancer 27 42 43 reported cancer risk by sex
356,resection of the contractured bladder neck a  at the end the urethral sphincter continued to look functional b
357,histological analysis revealed the presence of metastases with clear osteolysis in the newly formed bone
358,secondly they might represent a failure of the ihc assay because of poor preservation of antigen insufficient material or another technical error
359,immunohistochemistry was performed on the resulting tumors examining il 15 expression
360,for the rest however pdgf bb or vegf c alone was not linked to any other clinical feature including lmvd
361,the recruits gave a blood sample for dna extraction at enrolment and underwent annual psa screening with psa 3 0 ng ml triggering a diagnostic prostate biopsy
362,for internal validation e g  to assess the accuracy of the methylation levels determined by the 450k beadchip analysis pyrosequencing assays were developed that encompassed ten differentially methylated cpg loci interrogated on the 450k bead chip
363,performed the experiments sf yw dw ml wc
364,cell culture normal human bronchial epithelial hbe cells and a549 h1299 h460 and h157 cell lines were obtained from the american type culture collection manassas va usa
365,in particular administration of chemotherapy at the maximum tolerated dose can lead to cep recruitment which home to the viable tumor rim that characteristically remains after such therapy 10
366,costs of reduced ability to work are estimated using the friction costs method which results in a more realistic estimate than the human capital approach 60
367,cl1 1 cl1 5 or a549 cells were left untreated or were incubated for 54 h with 100 or 250 m sulindac left panel or sulindac sulfone center panel or for 12 h with 100 or 250 m sulindac sulfide right panel  then cell survival was measured by the mtt assay and expressed as percentage survival compared to the untreated cells
368,recently two lncrnas pcgem1 and prncr1 have been suggested in prostate cancer to act as mediators of castration resistance disease by binding in a direct and sequential fashion to the androgen receptor ar  causing ligand independent activation of its gene expression programs 1
369,for example loci differentiating er negative tumors have also been shown to be significantly associated with breast cancer lipid levels cardiovascular disease bone density osteoporosis and arthritis
370,the linear quadratic model is inappropriate to model high dose per fraction effects in radiosurgery med phys 36 2009 3381 3384 19746770 31 nahum a e
371,thus the mechanisms by which cancer cells might regulate their resistance to enhanced copper levels within the tumour microenvironment are of great importance to disease development
372,this work was supported by the seed funding programme for basic research university of hong kong project 201111159212 to jr and the national natural science foundation of china specialized research fund for the doctoral program of higher education on 2011 project 20106101110001 to xz
373,residual pcl scaffold fibers could only be observed in the form of voids left in the tissue
374,samples therefore accuracy is not a good criteria to measure classification performance of an algorithm in the testing datasets
375,untranslated region are potential candidates to have an impact on breast cancer risk 12
376,d transwell cell invasion assay analysis of control and p4ha2 silenced mda mb 231 cells scale bar 200 m
377,osuccg is supported by the ohio state university comprehensive cancer center
378,thus the tt genotype tended to be associated with an increased breast cancer risk in this age group although these differences were not significant table 3
379,the utility weight for patients under as and the probability of developing metastases under as have the highest impact on model results
380,the nsclc risk associated with cr1 tag snps was estimated as odds ratios or and 95% confidence intervals ci computed by logistic regression model adjusted for age gender and smoking status where it was appropriate
381,in contrast in ribo zero seq and dsn seq there was a more continuous coverage of both exons and introns although the coverage of intergenic regions was more similar to what was seen with mrna seq
382,although at the dosing schedule used in these studies tumor specific t cell responses did not eventually lead to rejection of the established tumors they significantly prolonged survival time in tumor bearing mice
383,this is lower than the results found in previous studies where the success rate of methylene blue injection was 96% 100% 18 20
384,for this purpose we used hc11 mammary epithelial cells that react strongly to the overexpression of mkl1 with induction of tenascin c expression 13
385,finally discussion and conclusion are presented at the end
386,there was no difference in the percent change in target lesion size between the lung and lymph nodes p  0 114  figure 2
387,shear wave elastography image acquisition is performed by generating shear wave using a sonographic push pulse
388,the her2 status was considered positive if the local institution reported grade 3 staining intensity on a scale of 03 by immunohistochemical analysis or grade 2 staining intensity with gene amplification on fluorescence or chromogenic in situ hybridization
389,third the assessment of the clinical relevance of the molecular information generated by such an initiative is another challenge
390,some of them are now being tested at a clinical level in tandem with standard chemotherapeutic or targeted agents in cancer patients
391,tumor infiltrating lymphocytes tils  particularly cd8 t cells have been shown to have strong positive prognostic relevance in multiple other solid tumors 15 17
392,a comparison of all algorithms on unweighted graphs with 1000 nodes and 10 modules for noise level p  0 15 is shown in figure 1c
393,26  35 at the present time anticancer therapy is currently monitored in the context of hormone sensitive cancers by regular assay of tumor markers such as prostate specific antigen in prostate cancer
394,az cancers were more common in patients with known prostate cancer group 234 7% than in patients with previous negative prostate biopsies group 121 8% but this finding was not statistically significant p  0 1492
395,crisp3 mrna expression was related to biochemical recurrence in the mskcc p  0 038 and lethal disease in the swedish cohort p  0 0086 and retained its prognostic value in the subgroup of patients with gs 6  7
396,the induction of autophagic response upon ampk activation has been previously reported hoyer hansen  jaattela 2007 egan et al 2011
397,previously published online www landesbioscience com journals mabs article 27658 abbreviations tki tyrosine kinase inhibitor scfv single chain variable fragment adcc antibody dependent cell mediated cytotoxicity adcp antibody dependent cell mediated phagocytosis 10 4161 mabs 27658 references 1 lee hoeflich st crocker l yao e pham t munroe x hoeflich kp sliwkowski mx stern hm a central role for her3 in her2 amplified breast cancer implications for targeted therapy cancer res 2008 68 5878 87 10 1158 0008 5472 can 08 0380 18632642 2 holbro t beerli rr maurer f koziczak m barbas cf 3rd hynes ne the erbb2 erbb3 heterodimer functions as an oncogenic unit erbb2 requires erbb3 to drive breast tumor cell proliferation proc natl acad sci u s a 2003 100 8933 8 10 1073 pnas 1537685100 12853564 3 schoeberl b faber ac li d liang mc crosby k onsum m burenkova o pace e walton z nie l an erbb3 antibody mm 121 is active in cancers with ligand dependent activation cancer res 2010 70 2485 94 10 1158 0008 5472 can 09 3145 20215504 4 schoeberl b pace ea fitzgerald jb harms bd xu l nie l linggi b kalra a paragas v bukhalid r therapeutically targeting erbb3 a key node in ligand induced activation of the erbb receptor pi3k axis sci signal 2009 2 ra31 10 1126 scisignal 2000352 19567914 5 baselga j swain sm novel anticancer targets revisiting erbb2 and discovering erbb3 nat rev cancer 2009 9 463 75 10 1038 nrc2656 19536107 6 yarden y sliwkowski mx untangling the erbb signalling network nat rev mol cell biol 2001 2 127 37 10 1038 35052073 11252954 7 tzahar e waterman h chen x levkowitz g karunagaran d lavi s ratzkin bj yarden y a hierarchical network of interreceptor interactions determines signal transduction by neu differentiation factor neuregulin and epidermal growth factor mol cell biol 1996 16 5276 87 8816440 8 hellyer nj kim ms koland jg heregulin dependent activation of phosphoinositide 3 kinase and akt via the erbb2 erbb3 co receptor j biol chem 2001 276 42153 61 10 1074 jbc m102079200 11546794 9 campbell mr amin d moasser mm her3 comes of age new insights into its functions and role in signaling tumor biology and cancer therapy clin cancer res 2010 16 1373 83 10 1158 1078 0432 ccr 09 1218 20179223 10 murphy cg modi s her2 breast cancer therapies a review biologics 2009 3 289 301 19707416 11 nahta r yu d hung mc hortobagyi gn esteva fj mechanisms of disease understanding resistance to her2 targeted therapy in human breast cancer nat clin pract oncol 2006 3 269 80 10 1038 ncponc0509 16683005 12 hurvitz sa hu y obrien n finn rs current approaches and future directions in the treatment of her2 positive breast cancer cancer treat rev 2013 39 219 29 10 1016 j ctrv 2012 04 008 22658319 13 robinson mk hodge km horak e sundberg al russeva m shaller cc von mehren m shchaveleva i simmons hh marks jd targeting erbb2 and erbb3 with a bispecific single chain fv enhances targeting selectivity and induces a therapeutic effect in vitro br j cancer 2008 99 1415 25 10 1038 sj bjc 6604700 18841159 14 mcdonagh cf huhalov a harms bd adams s paragas v oyama s zhang b luus l overland r nguyen s antitumor activity of a novel bispecific antibody that targets the erbb2 erbb3 oncogenic unit and inhibits heregulin induced activation of erbb3 mol cancer ther 2012 11 582 93 10 1158 1535 7163 mct 11 0820 22248472 15 garrett jt sutton cr kuba mg cook rs arteaga cl dual blockade of her2 in her2 overexpressing tumor cells does not completely eliminate her3 function clin cancer res 2013 19 610 9 10 1158 1078 0432 ccr 12 2024 23224399 16 li q ahmed s loeb ja development of an autocrine neuregulin signaling loop with malignant transformation of human breast epithelial cells cancer res 2004 64 7078 85 10 1158 0008 5472 can 04 1152 15466203 17 montero jc rodrguez barrueco r ocaa a daz rodrguez e espars ogando a pandiella a neuregulins and cancer clin cancer res 2008 14 3237 41 10 1158 1078 0432 ccr 07 5133 18519747 18 dunn m sinha p campbell r blackburn e levinson n rampaul r bates t humphreys s gullick wj co expression of neuregulins 1 2 3 and 4 in human breast cancer j pathol 2004 203 672 80 10 1002 path 1561 15141382 19 kaufman b trudeau m awada a blackwell k bachelot t salazar v desilvio m westlund r zaks t spector n lapatinib monotherapy in patients with her2 overexpressing relapsed or refractory inflammatory breast cancer final results and survival of the expanded her2 cohort in egf103009 a phase ii study lancet oncol 2009 10 581 8 10 1016 s1470 2045 09 70087 7 19394894 20 gomez hl doval dc chavez ma ang pc aziz z nag s ng c franco sx chow lw arbushites mc efficacy and safety of lapatinib as first line therapy for erbb2 amplified locally advanced or metastatic breast cancer j clin oncol 2008 26 2999 3005 10 1200 jco 2007 14 0590 18458039 21 burstein hj sun y dirix ly jiang z paridaens r tan ar awada a ranade a jiao s schwartz g neratinib an irreversible erbb receptor tyrosine kinase inhibitor in patients with advanced erbb2 positive breast cancer j clin oncol 2010 28 1301 7 10 1200 jco 2009 25 8707 20142587 22 gradishar wj emerging approaches for treating her2 positive metastatic breast cancer beyond trastuzumab ann oncol 2013 24 2492 500 10 1093 annonc mdt217 23827380 23 baselga j albanell j ruiz a lluch a gascn p guillm v gonzlez s sauleda s marimn i tabernero jm phase ii and tumor pharmacodynamic study of gefitinib in patients with advanced breast cancer j clin oncol 2005 23 5323 33 10 1200 jco 2005 08 326 15939921 24 folkes aj ahmadi k alderton wk alix s baker sj box g chuckowree is clarke pa depledge p eccles sa the identification of 2 1h indazol 4 yl 6 4 methanesulfonyl piperazin 1 ylmethyl 4 morpholin 4 yl thieno 3 2 d pyrimidine gdc 0941 as a potent selective orally bioavailable inhibitor of class i pi3 kinase for the treatment of cancer j med chem 2008 51 5522 32 10 1021 jm800295d 18754654 25 brachmann sm hofmann i schnell c fritsch c wee s lane h wang s garcia echeverria c maira sm specific apoptosis induction by the dual pi3k mtor inhibitor nvp bez235 in her2 amplified and pik3ca mutant breast cancer cells proc natl acad sci u s a 2009 106 22299 304 10 1073 pnas 0905152106 20007781 26 sergina nv rausch m wang d blair j hann b shokat km moasser mm escape from her family tyrosine kinase inhibitor therapy by the kinase inactive her3 nature 2007 445 437 41 10 1038 nature05474 17206155 27 chakrabarty a snchez v kuba mg rinehart c arteaga cl feedback upregulation of her3 erbb3 expression and activity attenuates antitumor effect of pi3k inhibitors proc natl acad sci u s a 2012 109 2718 23 10 1073 pnas 1018001108 21368164 28 scaltriti m verma c guzman m jimenez j parra jl pedersen k smith dj landolfi s ramon y cajal s arribas j lapatinib a her2 tyrosine kinase inhibitor induces stabilization and accumulation of her2 and potentiates trastuzumab dependent cell cytotoxicity oncogene 2009 28 803 14 10 1038 onc 2008 432 19060928 29 amin dn sergina n ahuja d mcmahon m blair ja wang d hann b koch km shokat km moasser mm resiliency and vulnerability in the her2 her3 tumorigenic driver sci transl med 2010 2 ra7 10 1126 scitranslmed 3000389 20371474 30 eichhorn pj gili m scaltriti m serra v guzman m nijkamp w beijersbergen rl valero v seoane j bernards r phosphatidylinositol 3 kinase hyperactivation results in lapatinib resistance that is reversed by the mtor phosphatidylinositol 3 kinase inhibitor nvp bez235 cancer res 2008 68 9221 30 10 1158 0008 5472 can 08 1740 19010894 31 wilson tr fridlyand j yan y penuel e burton l chan e peng j lin e wang y sosman j widespread potential for growth factor driven resistance to anticancer kinase inhibitors nature 2012 487 505 9 10 1038 nature11249 22763448 32 xia w petricoin ef 3rd zhao s liu l osada t cheng q wul
398,after prolonged treatment with these pharmacological agents a differentiated phenotype was observed in both cellular models
399,importantly we found ki67 levels to be independent of pik3ca mutation status or other alterations in the pathway suggesting that selecting cohorts of patients based on pathway activation would not necessarily identify low risk patients with non proliferative cancers
400,by contrast the bispecific tab6 induces less her3 degradation than either ab6 or ab6tet and yet is more effective in reducing cell signaling and proliferation
401,furthermore in vitro model systems were used to study the functional role of lsr in breast cancer cell behavior
402,all women who undergo mammography screening using digital equipment during the study period at the study centres will be included
403,the studies in figure 1 along with previous reports demonstrate that the enzyme thiaminase has activity against breast and lymphoid leukemia cell lines
404,cell populations in parental mcf7 and t47d cells as well as different variants treated with or without e2
405,the aim of this article was to develop a markov model for the evaluation of as as an alternative strategy to pe for the treatment of early stage localised prostate cancer in the context of the german health care system
406,many of the performance characteristics normally associated with bioanalytical methods are not relevant to ihc for example accuracy 26 27
407,panel shows the correlation plots for each of the 10 assays with the pearson s correlation indicated for each
408,patient information tumor samples used in the study were collected from the first affiliated hospital of dalian medical university china
409,in case of cancer cell invasion blocking such targets might lead to the confinement of the primary tumour to its original site reducing cancer to a local and more curable problem
410,several mechanisms were proposed to explain the role of ar in this transition to therapy resistance
411,lncap and du145 prostate cancer cells are resistant to trail induced apoptosis and trail was less active against them compares with pc 3 prostate cancer cells 29  30
