Case Study Id,Institution,Unit of Assessment,Title,Summary of the impact
19409,"
    University of Salford
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Improving outcomes for children, young people and families
    ","
    Improving outcomes for children, young people and families focuses
      on supporting the development of health and social care initiatives to
      promote social inclusion and improve quality of life, family cohesion, and
      health outcomes for `troubled', at risk, and disadvantaged families,
      demonstrating the following impact:
    
      Guiding practice, strategic decision-making and organisational change
        in partnership with local authorities and voluntary sector
        organisations, resulting in positive outcomes for children and families;
      Influencing national policy development in relation to improvements in
        health and social care services, resulting in reduced dependence on
        services.
    
    "
19862,"
    University of Worcester
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Addressing the Childhood Obesity Problem in the West Midlands: enhancing
      child weight management programmes
    ","
    Childhood obesity is a national problem but it is a problem even more
      keenly felt in the West Midlands where statistics show the percentage of
      children classified as obese is higher than the national average. Research
      demonstrating that simple measures such as waist circumference and body
      mass index (BMI) are every bit as effective as complex and expensive
      measuring processes such as magnetic resonance imaging (MRI) scans in
      identifying high risk obese children has fed into the evaluation and
      subsequent improvement of child weight management programmes in the region
      and more widely in the UK. It also informed the development of an obesity
      strategy and action plan for Worcestershire for the period 2008-11.
    "
19868,"
    University of Worcester
    ",Business and Management Studies,"
    Understanding and Enhancing Time Management Behaviour in Organisations
    ","
    The Centre for People at Work is a research and consultancy centre with
      expertise in human
      resources and occupational psychology. Primary research in one particular
      area of expertise, time
      management, has generated two new psychometric constructs of `Time
      Personality' and `Temporal
      Intelligence'. These constructs have been applied in workshops to help
      employees understand
      their time personalities and make changes to improve their time
      management. More significantly,
      however, these constructs have been disseminated in major practitioner
      publications, which have
      led to the incorporation of the constructs into a leading provider of
      training and development
      services Time Management training courses. This course seeks to train
      delegates in skills which
      can be used to improve their time management and efficiency in the
      workplace.
    "
19877,"
    University of Salford
    ","Architecture, Built Environment and Planning","
    Inclusive Design for Getting Outdoors (I'DGO)
    ","
    Praised in the International Design for All Foundation Awards 2013 as ""rigorous,
        empathic and
        very thoughtful"", Inclusive Design for Getting Outdoors (I'DGO) has
      changed both policy and
      practice relating to the design of outdoor environments. Focusing on
      meeting the needs of
      older people and disabled people, the consortium's practical guidance has
      been utilised locally,
      nationally and internationally by bodies ranging from the UK Department
      for Transport to the
      World Health Organization. Through media such as the British Science
      Festival and the BBC,
      the researchers have promoted the need for age-friendly design to the
      public, including older
      stakeholders. Their findings have impacted upon industry in a
      cross-cutting way, underpinning
      the training of professionals, from occupational therapists to urban
      designers and have
      changed people's lives for the better, supporting older people and
      disabled people to go out
      more through developing user led approaches to shaping outdoor
      environments.
    "
19991,"
    Queen Margaret University
    ",Anthropology and Development Studies,"
    Refugee Integration Programme
    ","
    Integration of refugees, asylum seekers and their host communities is a
      complex challenge but an important marker both of future health and
      psychosocial wellbeing and of social cohesion. The UK Home Office
      commissioned IIHD to undertake the Indicators of Integration (IOI)
      research programme (from 2001) to clarify the IOI concept and recommend
      IOI for refugee policy and practice. The Ager and Strang
      IOI Framework (Ager and Strang, 2004a; 2004b; 2008) has
      become a foundational framework for refugee integration policy, for the
      measurement of integration and for critiquing policy and practice. Strang
      was appointed to chair the Scottish Government Refugee Integration
      Strategy consultation process in 2012 and has contributed by invitation to
      a number of EU-commissioned policy consultations.
    "
20435,"
    University of Roehampton
    ","Psychology, Psychiatry and Neuroscience","
    Understanding and Preventing Bullying Amongst School Children
    ","
    The research underpinning this case study focuses on understanding the
      nature of school-based bullying and the effectiveness of systems to
      address it. Through practitioner-orientated books, training schemes and
      websites, this research has been widely used in a range of government and
      NGO publications and resources. In addition, through the research focus on
      bullying as a systemic problem and understanding how peer support schemes
      can combat it, Cowie has contributed to bringing about change in the way
      schools in the UK deal with bullying. This is evidenced by the widespread
      use of peer mentoring, peer mediation and advocacy schemes, which can be
      seen on school websites and in government reports.
    "
20445,"
    University of Roehampton
    ","Psychology, Psychiatry and Neuroscience","
    Promoting Social, Emotional and Mental Health in Children
    ","
    This case study describes how Prof Cecilia Essau's research into
      emotional and behavioural problems in children and adolescents has been of
      benefit to children and has helped parents and schools to provide them
      with better support. Essau has worked with a children's charity to use her
      externally funded research to contribute to public understanding through
      providing presentations and skills training and to underpin the
      development and implementation of an anxiety prevention programme, Super
        Skills for Life (SSL), which has had a demonstrable benefit on
      children's wellbeing. In addition, Essau's research has been of value in
      informing the development of DSM-5, in introducing a specifier to the
      diagnosis of conduct disorder using callous-unemotional traits, and in
      refining the diagnosis of somatic symptom disorder. It has also
      contributed to policies and interventions internationally.
    "
20458,"
    Coventry University
    ","Psychology, Psychiatry and Neuroscience","
    Changing Attitudes to Children's Text Messaging and Literacy
    ","
    Wood and Plester conducted the first empirical research into the
      impact of text messaging on
      children's literacy abilities, the results of which have impacted on:
    
       Public attitudes, by challenging media accounts of the
        alleged detrimental impact of texting on
        children's understanding of standard English;
       Public policy on literacy in England by informing Department
        for Education and National
        Literacy Trust reports and research regarding the value of informal
        language use to written
        language skills;
       Practitioners in the UK and worldwide, who now use text
        language as a way of teaching
        English to young people.
    
    "
20917,"
    Loughborough University
    ",Social Work and Social Policy,"
    Improving Outcomes of Services for Children in Need through Research
        that Changes National and International Policy and Practice
    ","
    Loughborough University's Improving Outcomes of Services for Children in
      Need research is a
      programme of interlinked studies that has had a substantial impact on the
      development of national
      and international policy and professional practice for the most vulnerable
      children. It has influenced
      the development of government policy on safeguarding children from abuse
      and neglect,
      placement in out-of-home care, and adoption throughout the United Kingdom
      and in Australia,
      Canada and countries in Western and Eastern Europe. The researchers have
      translated a number
      of findings into tools designed to shape professional practice: these
      include a computer application
      that introduces transparency into the comparison of costs and outcomes of
      services.
    "
20945,"
    University of Glasgow
    ","Architecture, Built Environment and Planning","
    Transforming Public and Political Understandings of Gangs, Knife Crime
        and Territoriality
    ","
    At a time when youth gangs were high on the UK and Scottish governments'
      agendas and a focus of media concern, this research was instrumental in
      changing understandings of the origins of youth gangs, and why they engage
      in violent conflict. A key insight was that significant gang behaviour had
      its origins in extreme forms of place attachment. The impact encompassed
      changes in policy direction and programmes aimed at tackling youth
      violence, including policies in Scotland such as `No Knives Better Lives'.
      Through very substantial publicity, including coverage on 2 primetime TV
      documentaries, the research informed public understandings, and challenged
      conventional wisdom on the nature, organisation and behaviour of youth
      gangs.
    "
21132,"
    University of Salford
    ",Modern Languages and Linguistics,"
    Relationships of trust: Public service interpreting and translation
        (PSIT) in the community and in statutory and non-statutory welfare
        services
    ","
    This case study reports on two projects in the field of public service
      interpreting and translation:
    1) Supporting third sector organisations in providing assistance to
      non-UK nationals through a
      volunteer trainee community interpreter engagement project, developed in
      partnership with
      voluntary and community sector service providers.
    2) Improving understanding of the ethical issues confronted in
      interpreting practice in welfare
      service delivery settings, through research on professional
      inter-cultures, obtained between
      service providers and interpreters in welfare service delivery.
    "
21135,"
    University of Winchester
    ","Psychology, Psychiatry and Neuroscience","
    Contributions of media psychology research to discussions of body
        image in society.
    ","
    David Giles's research on the influence of media on human behaviour has
      generated impact across a number of domains in the world beyond academia.
      One area where impact is particularly evident is in his research on body
      image and eating disorders. The findings reported in Giles and Close
      (2008) were reported in high-profile media sources including the Health
      section of the BBC website, the Sunday Times, and the Daily
      Mail; and material from these sources was reproduced in other
      locations, most notably in the Wikipedia entry for the UK version
      of Men's Health magazine.
    "
21136,"
    University of Winchester
    ","Psychology, Psychiatry and Neuroscience","
    Cognitive performance under challenging circumstances.
    ","
    Dr Kneller's research on cognitive performance under challenging
      circumstances demonstrates impact in two areas:
    1) Informing practice in diving. Kneller's research has demonstrated the
      effects of nitrogen narcosis on memory, and how anxiety may compound its
      severity. This has implications for recreational, commercial and military
      diving and has been recognized by diving industry sources.
    2) Improving eyewitness identification within the context of crimes.
      Kneller's research has informed practice in the process of eyewitness
      identification for victims of crime. Her findings have impacted on
      policing practice in terms of how suspect line-ups are conducted and her
      expertise recognized within practitioner circles.
    "
21348,"
    University of Glasgow
    ",Social Work and Social Policy,"
    Bad News for Disabled People: Informing debate on media
        representations of disability
    ","
    `Scrounger', `cheat', `skiver' - Disabled people are feeling increasingly
      threatened by how they are represented in the media. University of Glasgow
      research has provided strong evidence of this negative shift in media
      coverage of disability issues. The 2011 findings have received widespread
      attention, have critically informed public and political debate and have
      substantially shaped the work of NGOs and advocacy groups. They have
      provided organisations with clear research evidence to inform their
      campaigns by defining and quantifying misrepresentations in the media and
      the effects on audience perception of these issues, helping to support
      calls for change in public attitudes to issues of inequality.
    "
21469,"
    Newcastle University
    ",Business and Management Studies,"
    Information-sharing in public services: Improving inter-agency
        coordination and governance
    ","
    Research at Newcastle has made a significant contribution to the public
      services modernisation agenda in the areas of inter-agency working and
      information-sharing. The research showed that effective
      information-sharing required not just that different information systems
      are made compatible with each other, but also that people from different
      professional cultures are enabled to work together through a common
      understanding of information governance issues. In active collaboration
      with a range of service providers, a number of processes and tools were
      developed for the significant benefit of service users. They have been
      implemented in a variety of policy settings, including children's services
      and adult social care, and have informed current programmes funded by the
      UK government.
    "
21471,"
    University of Cumbria
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Improving understanding of medical image perception and enhancing
        interpretation in practice
    ","
    The body of research relating to perception and interpretation of medical
      images has generated a
      range of impacts on the practice and training of radiologists and
      reporting radiographers, with
      resultant benefits for patients. Engagement with the research findings has
      raised awareness in
      clinical practitioners of the implicit strategies they use during medical
      image interpretation and in
      particular the type and frequency of errors, including the prevalence of
      decision-making mistakes
      over issues of pathology perception. Practitioners have benefited through
      considering their
      individual strategies, leading to enhanced decision making processes and
      reducing error rates in
      interpretation of 2D and 3D images.
    The impact has been achieved through engagement with the sector through
      relevant professional
      bodies, practitioner orientated publications and direct involvement of the
      research team in training
      and development activities for practitioners.
    The impact of the research on practitioner diagnostic strategies is
      applicable across all areas of
      radiology and diagnostic radiography, but is also being explicitly pursued
      to determine training
      methods and assessment when radiologists view 3D Computed Tomography
      Colonography data
      for bowel cancer.
    "
21486,"
    University of Cumbria
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Interdisciplinary Psychosocial Impacts on Coaching and Coach Education
    ","
    Since the 1990s, academics at the University have focused on coaching and
      coach education as a
      key area of interest, and have had substantial impacts on practice within
      these areas through an
      on-going process of research, dissemination and engagement. Through
      intrinsically applied work,
      the group initially employed an interdisciplinary approach to the
      development of the academic
      curriculum to train coaches and other sports practitioners through under-
      and postgraduate
      programmes. However, as engagement with practicing coaches increased, the
      approach
      increasingly moved from sport pedagogy aspects of coach education towards
      examining the
      cultural and historical perspectives of this practice, and into the
      psychosocial elements of coaching
      practice. Through a nexus of research and engagement, the group has
      directly influenced
      coaching standards and guidelines, and stimulated improvements in practice
      and practitioner
      debate. In particular, this has led to impact on UK coach education
      provision, for example through
      development of accredited coach education programmes for two national
      coaching agencies
      SportsCoachUK and the Football Association by members of
      the interdisciplinary research team.
    "
21487,"
    University of Cumbria
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Improving training through testing context appropriate muscle function
      assessment techniques to support effective coaching practice and athletic
      performance.
    ","
    The applied research generated has targeted practitioners and athletes at
      all levels, and by combining expertise and knowledge from different areas
      (primarily Biomechanics and Physiology), aimed to directly influence the
      way in which muscle function is assessed in competitive sports. The
      studies in the area of muscle conditioning and function has generated a
      body of work that has the potential to be useful to coaches both in
      competition as well as in training, but to date has not been fully
      realised. By examining how the muscle responds to certain stimuli,
      training suggestions have been provided that can acutely increase the
      performance of an athlete, for example conditioning stimuli prior to
      athletics performance (reference 4 in section 3). These suggestions can
      assist both in improving the competitive performance as well as in
      improving the quality of the content and experience of training sessions.
    Further, evaluating a range of tests and assessment tools, such as by
      examining their validity and reliability, monitoring and assessment
      becomes much more accurate and sport-specific, enabling high-quality
      training (such as in reference 2, section 3). In addition, as these
      assessments allow testing to take place within the training and
      performance environment the performer is accustomed to (such as in
      reference 6, section 3), they also result in minimal disruption of the
      training programme, which cannot be achieved using traditional assessment
      techniques which require a visit to a laboratory for the assessment to
      take place.
    The range of applicability of the research to support uptake of the
      recommendations and resultant training and performance benefits has been
      maximised by ensuring the suggestions and equipment used are low cost and
      easily accessible, enabling coaches and athletes from a wide range of
      performance levels to utilise them, such as functional tests (such as in
      reference 5, section 3). The work has highlighted that coaches and
      athletes need to reassess their approaches to measuring performance and
      specific measurement techniques used, and that doing so can improve
      training techniques and athletic performance.
    "
21490,"
Anglia Ruskin University
","Architecture, Built Environment and Planning","
Case Study 1: Enhancing national and international spatial planning
policies to improve the independence and quality of life for older people
","
We have contributed, nationally and internationally, to a changing approach, content and
implementation of planning policy by including the needs of our ageing society in streetscape
design, to address the requirements of older people, benefitting their independence, welfare and
quality of life. In the UK 23% of the population is projected to be aged over 65 by 2035, according
to the Office of National Statistics (2010). Our focus upon the needs of an ageing society has been
adopted as part of the skills and knowledge development agenda in sustainable planning through
the Royal Town Planning Institute (RTPI). Tools have been developed, policy informed and
reformed, and our findings included in a House of Lords report on assistive technology for older
people.
"
21695,"
    University of Glasgow
    ",Politics and International Studies,"
    Documenting, understanding and addressing gender violence in El
        Salvador
    ","
    A high-profile campaign documenting the influence of public perceptions
      of gender-based violence in El Salvador led to greater public awareness,
      demands for change and new national legislation. Research for Oxfam
      America by Dr Mo Hume played a key role in driving the campaign, Una
        Vida Diferente, which was organised by a broad-based coalition of
      international and national NGOs and state organisations.
    "
21707,"
    Newcastle University
    ",Sociology,"
    The struggle for material democratisation: contributing to the defence
        of
        essential water and sanitation services in Latin America
    ","
    Lack of access to water and sanitation services (WSS) is a long-term
      material deficit in Latin
      American democracies, worsened since the 1980s by privatization and
      commodification policies.
      Research at Newcastle since 2005 has played a major role in supporting
      policy change to defend
      and enhance public services by providing evidence-based grounds for policy
      interventions and
      informed citizen participation. It has:
    
      supported the implementation of Brazil's first National Basic
        Sanitation Law and Plan for
        Basic Sanitation;
      contributed to campaigns against commodification and privatisation and
        to re-publicise
        privatised WSS, improving the quality of public debate;
      informed training activities in influential public and civil society
        organizations.
    
    "
21780,"
    Leeds Metropolitan University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Community interventions to improve the promotion of physical activity
        and of Sport-for-Development
    ","
    We improve Public Health and facilitate personal growth through promoting
      active lifestyles. We have provided an evidence-base of effective
      intervention approaches across settings, in `hard-to-engage' populations
      and through distinctive planning and delivery approaches. Our support for
      practitioners and commissioners has developed (i) ways to show the
      effectiveness of interventions to increase activity and (ii) programmes
      that achieve wider developmental aims. These effects are achieved by
      deploying innovative, often bespoke, realistic impact measures that
      improve programme effectiveness in locations, venues and groups where
      other groups do not go.
    "
21786,"
    Leeds Metropolitan University
    ","Sport and Exercise Sciences, Leisure and Tourism","
    Informing global anti-doping policy and practice
    ","
    We have substantially redirected anti-doping in sport by informing global
      education policy and
      practice at the World Anti-Doping Agency (WADA), the European Commission,
      UK Anti-Doping
      (UKAD) and UK Athletics (UKA). Work conducted on behalf of the WADA &#8212; who
      implement and
      disseminate our findings &#8212; has had a worldwide effect on the design,
      implementation and
      evaluation of anti-doping education in sport. Our global reach and
      influence has been achieved by
      creating an evidence-base of existing literature, then moving to challenge
      current delivery methods
      and to informing future anti-doping policy and practice.
    "
21966,"
    Nottingham Trent University
    ",Business and Management Studies,"
    `From Buildings to People': A new regulatory regime for Fire &amp; Rescue
      Services
    ","
    Research undertaken in the Unit by Murphy et al. highlighted the benefits
      of a new people-centred approach to risk assessment supported by evidence-led
      performance management data for Fire and Rescue Services (FRS). The new
      Fire and Rescue National Framework for England published in July 2012 was
      subsequently based around these twin principles.
    New frameworks for Scotland, Wales, N. Ireland and Eire published in
      2012-13, followed England's lead and adopted this new approach. Similarly
      at the local level research by the same team has helped to shape the
      re-configuration of emergency cover provided by Nottinghamshire Fire &amp;
      Rescue Services (NFRS) based on the new approach.
    "
22927,"
    University of Sheffield
    ","Geography, Environmental Studies and Archaeology","
    Understanding the impact of recent changes in UK food and farming
    ","
    Research by Jackson and the CONANX group (Consumer anxieties about food)
      at Sheffield has enhanced understanding of recent changes in UK food and
      farming, including the globalization of supply chains, technological
      innovation and retail concentration all of which have led to increased
      consumer anxieties about food safety and security. The research has
      influenced commercial practice for a leading UK food retailer; enhanced
      public understanding and encouraged more healthy eating (via museum
      exhibitions, an educational website and changes to school curricula); and
      helped shape public policy (through Jackson's work with DEFRA and the Food
      Standards Agency).
    "
23000,"
    Coventry University
    ","Allied Health Professions, Dentistry, Nursing and Pharmacy","
    Better informed, more activated patients: self-management - a new
        approach to chronic disease management in the twenty first century
    ","
    Long term conditions are leading causes of death and disability. Over 80%
      of care for people with long term conditions is self-management. In 2001,
      the Chief Medical Officer concluded, from evidence from the US and from Barlow
      and Turner's pioneering research in the UK, that the NHS should
      provide support for self-management through programmes such as the Expert
      Patient Programme. Turner and McHattie have developed
      self-management programmes (e.g. the Help to Overcome Problems
      Effectively: HOPE Programme) which have been taken up by local, national
      and international providers. These programmes have impacted positively on
      patient-reported outcome measures such as pain, fatigue and depression.
      They are cost-effective and produce a social return on investment.
    "
23076,"
    Coventry University
    ",Business and Management Studies,"
    Understanding organisational change and leadership and their impact on
        organisational wellbeing
    ","
    The impact of the research detailed in this case study has been made at four
      levels:
    
      on management and leadership practice generally given wide
        dissemination through public debate, the media and practitioner
        orientated journals;
      direct influence on management and leadership education and practice
        in professional bodies by stimulating policy development in the
        Chartered Management Institute, the Australian Institute of Management
        and the Malaysian Productivity Council;
      direct impact in organisations that have used the research to improve
          business practice through consultancy interventions (Telford and
        Wrekin Council and the UK National School of Government);
      commercial impact in Simplyhealth and Spring International that have
        used the research to develop new products and markets.
    
    "
23134,"
    Newman University
    ",Education,"
    Improving Safeguarding Outcomes for Children and Young People: Raising
        Awareness and Understanding through Participatory Methodologies
    ","
    National and international research findings were utilised to raise
      professional, political and faith-based awareness of the impact of abuse
      and exploitation on the educational, social and emotional development of
      children and young people considered to be `at risk'. The impact of the
      case study lies in its ability to portray, through the use of
      participatory research methodologies, the experiences of young people who
      have been the victims of abuse, neglect and human trafficking. Evidence
      collated indicates that the work has significantly increased national and
      local awareness and understanding, and led to specific organisational
      changes in policy and practice.
    "
23542,"
    10007857 Bangor University
    ","Psychology, Psychiatry and Neuroscience","
    Mindfulness-based interventions enhance wellbeing: development and
      implementation
    ","
    There is strong evidence that Mindfulness-Based Cognitive Therapy (MBCT)
      plays a major role not only in preventing the recurrence of depression,
      but also in enhancing well-being more broadly. Much of this research was
      carried out at Bangor University's Centre for Mindfulness Research and
      Practice, with a focus on non-academic impact from the outset. Between
      2008-2013, the Centre has delivered MBCT courses to over 1500 members of
      the public. We have also trained over 1300 professionals to deliver MBCT
      within the NHS and other contexts, leading to several successful spin-off
      businesses. Finally, Centre researchers lead in the creation of UK good
      practice standards.
    "
23870,"
    The University of Edinburgh
    ",Clinical Medicine,"
    V: Dolly the sheep - the first cloned mammal and a public icon for
        regenerative medicine
    ","
    Impact: Public engagement and education, influence on public
      ethical and scientific policy.
    Significance: The first demonstration of cloning from an adult
      mammalian somatic cell has stimulated rolling religious, ethical,
      cultural, political and scientific debates. Dolly has become a scientific
      icon entering the public and educational lexicons in addition to
      scientific ones.
    Beneficiaries: Human society, culture, education.
    Attribution: Wilmut and colleagues (Roslin Institute, UoE),
      undertook somatic cell nuclear transfer and used it to perform the first
      successful cloning of an adult mammal.
    Reach: Worldwide: Dolly became a scientific icon that is
      recognisable all around the world, representing a major public engagement
      with bioscience. For example; cloning principles are part of high school
      education including the International Baccalaureate (implemented in
      &gt;3600 schools on five continents).
    "
23881,"
    The University of Edinburgh
    ","Psychology, Psychiatry and Neuroscience","
    I: Defining the scale and demographics of technology-mediated crimes
        and illegal images of children, leading to new international accord and
        changes to sentencing guidelines
    ","
    Impact: Research defining the victim demographics and mode of
      online grooming led to the joint coordination of a G8 meeting and
      subsequent Declaration, formation of a Global Alliance and input into
      international sentencing procedures.
    Significance: As a result of formal policy, legislative changes,
      and advice given to people who work with children, more child victims of
      online pornography are protected and supported; more perpetrators are
      identified, prosecuted and sentenced appropriately.
    Beneficiaries: Vulnerable and abused children; governments and
      non-governmental organisations; teachers, youth and social workers; the
      police and judiciary.
    Attribution: Quayle, UoE, led the underpinning research and was
      the main co-ordinator for expert content at the G8 and Global Alliance
      meetings.
    Reach: Worldwide; 48 countries on five continents have committed
      to the goals of the Global Alliance. The work has informed legislative
      proposals and sentencing in USA, Japan and Russia. 80 million child
      pornography images were identified between 2002 and 2012.
    "
23886,"
    The University of Edinburgh
    ","Psychology, Psychiatry and Neuroscience","
    M: The Lothian Birth Cohorts: informing and changing policy and public
        perceptions on what is and is not associated with normal cognitive
        ageing
    ","
    Impact: UoE research into the determinants of cognitive change
      during ageing, including
      intelligence, has changed perceptions of the public and has informed
      policy debate.
    Significance: Understanding age-related cognitive change is
      essential for informing policy and
      addressing challenges that arise from increasing numbers of older people
      in society.
    Beneficiaries: UK government and policy-makers; specialist
      charities; the public; the arts.
    Attribution: Research on the Lothian Birth Cohorts was led by
      Deary (UoE) since 1996.
    Reach: UK and beyond; featured in regional and national policy
      documents, third sector literature,
      &gt;300 international press articles, presented at science festivals and
      in an art exhibition and a play.
    "
23889,"
    The University of Edinburgh
    ","Psychology, Psychiatry and Neuroscience","
    L: Enhancing public understanding of human cognition
    ","
    Impact: Public engagement: interactive demonstrations of human
      cognition on BBC web pages
      completed by 251,757 people since 2008.
    Significance: The involvement of massive numbers of the public
      who, by successfully completing
      on-line tests, acquired an understanding of cognition and memory.
    Beneficiaries: The public.
    Attribution: As a result of his published research on human
      cognition at the University of
      Edinburgh from 2004, the BBC invited Professor Robert Logie to develop
      interactive
      demonstrations for the public.
    Reach: Worldwide: 251,757 people from 150 countries. Media
      coverage, two Reader's Digest
      books (2011 and 2012) and exhibits in a major new science exhibition,
      launched 2013.
    "
23918,"
    University of Edinburgh and SRUC, Scotland's Rural College
    ","Agriculture, Veterinary and Food Science","
    Promoting public and policy-maker understanding of the benefits of
      genetic
      modification (GM) technology in chickens; transgenic birds that do not
      transmit avian influenza.
    ","
    Impact: Public policy and public engagement: public awareness
      towards GM animals.
    Significance: The chicken industry is worth &#163;2 billion per annum
      in the UK alone. GM technology
      offers increased productivity, biosecurity and welfare as well as
      biotechnology applications in
      production of protein therapeutics. Realization of this technology
      requires public acceptance.
    Beneficiaries: general public, applied researchers, pharmaceutical
      industry, poultry breeding
      companies
    Attribution: Work performed by Professor Sang, Dr. Clinton (Roslin
      Institute, now part of UoE)
    Reach: International: The work has been used to advise on policy
      for the USA (FDA) and
      European Food Safety Agency. As a further example Professor Sang's ""our
      changing world
      lecture"" has been viewed 1054 times across multiple countries.
    "
23979,"
    The University of Edinburgh
    ",Social Work and Social Policy,"
    5: Improving night-time care in residential and nursing homes
    ","
    Research findings have informed the development of training and support
      for care home inspectors and toolkits for use by caring professionals, all
      of which are provided through the Care Quality Commission (CQC) website.
      Findings have also been disseminated nationally and internationally
      through a book aimed at practitioners and policy makers that has now been
      published in German and Polish and is selling strongly in Australia and
      the USA. The study has furthered professional and public awareness of the
      need for improved night-time care in care homes, in particular improved
      communication (from staff to residents) and training.
    "
23981,"
    The University of Edinburgh
    ",Social Work and Social Policy,"
    2: Improving engagement with involuntary service users in social work
    ","
    This collaboration between the UoE and six local authorities developed
      social work interventions to improve engagement with `involuntary'
      services users. The impact of the research is seen in the sharing and
      implementation of knowledge about `what worked' within and across the
      participating local authorities and in gradually shifting practice
      cultures within these authorities. The impact is evident at several
      levels:
    
      practitioners changing how they work with service users, including
        greater ability to challenge risk averse practice in, for example,
        working with young adults with learning difficulties;
      three participating local authorities incorporating project findings
        into policy and staff induction and training;
      knowledge exchange activity via a thriving practice panel with
        representation from one local authority and UoE. This has led directly
        to six events each attracting around 60 practitioners;
      use of findings in wider academic, policy and practice communities
        through distribution and uptake of 500 `Good Practice' booklets;
      practitioners pursuing further study, one enrolling for a PhD, another
        writing a book and others going on to participate in a subsequent KE
        project following on from this one.
    
    "
23982,"
    The University of Edinburgh
    ",Social Work and Social Policy,"
    3: Contributing research evidence to support the reduction of suicide
        in Scotland
    ","
    Epidemiological and evaluation research conducted at the UoE has enhanced
      understanding of
      risk and protective factors for suicide and self-harm, the relative
      importance of compositional and
      contextual effects in explaining suicide inequalities, the unequal
      distribution of suicide risk in the
      population and the effectiveness of the national suicide prevention
      strategies in Scotland and
      elsewhere. Research findings have been effectively disseminated and have
      informed the
      development, implementation and sustaining of evidence-informed suicide
      prevention programmes
      and activities in Scotland, resulting in a fall of 18% (from 17.5 to 14.8
      per 100,000 population 15+
      years) in the suicide rate in Scotland during 2000-2012.
    "
23984,"
    The University of Edinburgh
    ",Social Work and Social Policy,"
    4: Bringing children's concerns to the development of alcohol policy
        and services, and sex education practice
    ","
    Research providing novel insights into children's perspectives on
      families and relationships has had wide impact on policy and practice in
      Scotland. Through a partnership with ChildLine Scotland, research
      conducted into children's calls has:
    
      led to the development of voluntary sector services to support
        children affected by their parents' drinking
      provided key information used to raise the awareness of `harm to
        others' in the change of alcohol policy to focus on reducing
        population-level alcohol consumption in Scotland (introduction of
        restrictions on sales and minimum pricing)
      been included in the training and education for parents, teachers and
        health improvement staff responsible for sexual health education of
        about 98,000 school-age children.
    
    "
23997,"
    The University of Edinburgh
    ",Education,"
    4: Special and Additional Support Needs: Resolving Disputes, Enhancing
        Rights and Improving Communication
    ","
    Research at the University of Edinburgh (2008 to 2012) has i) raised
      awareness of different types of dispute resolution (tribunal,
      adjudication, mediation) in Scotland and England; ii) promoted
      non-judicial forms of dispute resolution; iii) encouraged professionals to
      improve their communication with parents; and iv) enabled international
      comparisons to be made with regard to the rights and responsibilities of
      parents and professionals in different special/additional support needs
      systems. The significance of the impact is that it has informed changes in
      legislation and regulation and improvements in parental support, with key
      beneficiaries being education policy-makers, practitioners and parents.
      Reach of the impact extended to policy makers across the UK and Europe,
      local authorities in England and Scotland, providers of dispute resolution
      services, individual parents and voluntary sector organisations
    "
23998,"
    The University of Edinburgh
    ",Education,"
    2: Informing the debate on educational reform and socio-economic inequality
    ","
    Research by the University of Edinburgh (1997 to 2006, but part of a
      continuing programme of work) on socio-economic inequalities in education
      and the impact of educational reform has had an impact on public policy
      debates, mainly in Scotland. The significance of the impact is seen in the
      raised profile of socio-economic inequalities in policy agendas and the
      extent to which it has informed the design of policy responses and
      influenced policy debates. It has played an important role in holding the
      public policy process to account, by providing the main independent
      evidence base on the actual and potential contribution of policy. Its
      reach has extended to include policy-makers and participants in public
      debates about education and, indirectly, pupils and students.
    "
24010,"
    The University of Edinburgh
    ",Modern Languages and Linguistics,"
    Empowering French front-Line hospital nursing managers to deal
        positively with the pressures of modernisation
    ","
    Front-line nursing managers in French hospitals are often perceived, by
      themselves and others,
      as cogs in an administrative machine, trapped between conflicting demands
      for increased
      economic efficiency and health-care quality. Vaughan Rogers' work with ca.
      180 managers,
      trainees and training officers in the Rh&#244;ne-Alpes region's hospital
      service has challenged this
      perception. Within the framework of continuing professional development,
      he has enhanced
      nursing management's awareness of its capacity to influence the conduct of
      change in the
      profession and has inspired reinvigoration of the design of training
      programmes for this staff at the
      major Teaching Hospital for healthcare professionals in Grenoble.
    "
